科类方向代码,科类方向名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
G,播音与主持类,3711,临沂大学,6,播音与主持艺术,8,552,G-00394
G,播音与主持类,5012,重庆城市科技学院,28,播音与主持艺术,1,552,G-00399
B,美术与设计类,19,浙大宁波理工学院,33,数字媒体艺术,60,551,B-05444
B,美术与设计类,21,湖州师范学院,39,产品设计,18,551,B-05535
B,美术与设计类,1330,河北师范大学,6,视觉传达设计,2,551,B-05581
B,美术与设计类,2107,大连工业大学,16,服装与服饰设计,1,551,B-05485
B,美术与设计类,3103,上海视觉艺术学院,4,动画,5,551,B-05487
B,美术与设计类,3103,上海视觉艺术学院,5,艺术与科技,5,551,B-05484
B,美术与设计类,3263,南京特殊教育师范学院,21,美术学(师范),2,551,B-05449
B,美术与设计类,3268,无锡学院,24,艺术与科技,2,551,B-05473
B,美术与设计类,3319,常州工学院,2,数字媒体艺术,5,551,B-05494
B,美术与设计类,3446,合肥大学,31,视觉传达设计,4,551,B-05464
B,美术与设计类,3619,江西科技师范大学,38,环境设计（泰豪）,3,551,B-05462
B,美术与设计类,3642,景德镇陶瓷大学,14,中国画,4,551,B-05428
B,美术与设计类,3735,山东工艺美术学院,6,工艺美术,3,551,B-05532
B,美术与设计类,4067,武汉科技大学,15,公共艺术(中外合作办学),5,551,B-05483
B,美术与设计类,4241,郑州轻工业大学,19,设计学类,5,551,B-05421
B,美术与设计类,4330,湖南科技大学,3,雕塑,2,551,B-05513
B,美术与设计类,4518,广西艺术学院,8,视觉传达设计,2,551,B-05455
Cb,音乐类音乐表演声乐方向,5137,四川音乐学院,2,音乐表演（声乐）,5,551,Cb00323
Ec,表(导)演类戏剧影视导演方向,1314,河北传媒学院,10,戏剧影视导演,11,551,Ec00485
G,播音与主持类,3305,盐城师范学院,1,播音与主持艺术,4,551,G-00402
B,美术与设计类,17,嘉兴大学,33,环境设计,56,550,B-05632
B,美术与设计类,21,湖州师范学院,38,环境设计,15,550,B-05706
B,美术与设计类,22,绍兴文理学院,43,环境设计,15,550,B-05646
B,美术与设计类,23,台州学院,2,视觉传达设计,30,550,B-05728
B,美术与设计类,1164,中华女子学院,2,视觉传达设计,3,550,B-05688
B,美术与设计类,2151,沈阳建筑大学,25,视觉传达设计,1,550,B-05737
B,美术与设计类,2151,沈阳建筑大学,27,产品设计,1,550,B-05696
B,美术与设计类,3446,合肥大学,30,动画,4,550,B-05667
B,美术与设计类,3735,山东工艺美术学院,1,视觉传达设计,5,550,B-05675
B,美术与设计类,3735,山东工艺美术学院,3,产品设计,3,550,B-05697
B,美术与设计类,3767,山东艺术学院,10,视觉传达设计,4,550,B-05715
B,美术与设计类,4518,广西艺术学院,7,数字媒体艺术,2,550,B-05627
B,美术与设计类,4521,桂林电子科技大学,11,产品设计,2,550,B-05745
B,美术与设计类,5017,重庆工商大学,10,视觉传达设计(中外合作办学),8,550,B-05672
G,播音与主持类,4336,湖南女子学院,8,播音与主持艺术,2,550,G-00413
B,美术与设计类,38,丽水学院,33,美术学(师范),35,549,B-05812
B,美术与设计类,1102,北京城市学院,12,工艺美术,1,549,B-05850
B,美术与设计类,2315,哈尔滨师范大学,1,环境设计,4,549,B-05792
B,美术与设计类,2323,黑龙江大学,21,绘画,2,549,B-05852
B,美术与设计类,2323,黑龙江大学,23,环境设计,2,549,B-05829
B,美术与设计类,3103,上海视觉艺术学院,7,工艺美术,5,549,B-05806
B,美术与设计类,3263,南京特殊教育师范学院,22,视觉传达设计,2,549,B-05883
B,美术与设计类,3268,无锡学院,25,数字媒体艺术(中外合作办学),2,549,B-05875
B,美术与设计类,3314,南京传媒学院,7,数字媒体艺术,5,549,B-05844
B,美术与设计类,3446,合肥大学,33,产品设计,4,549,B-05826
B,美术与设计类,3446,合肥大学,34,艺术与科技,3,549,B-05866
B,美术与设计类,3537,泉州师范学院,38,视觉传达设计,2,549,B-05787
B,美术与设计类,3619,江西科技师范大学,5,工艺美术,3,549,B-05834
B,美术与设计类,3767,山东艺术学院,4,中国画,4,549,B-05848
B,美术与设计类,4308,长沙学院,33,视觉传达设计,3,549,B-05814
B,美术与设计类,4333,湖南理工学院,16,美术学(师范),2,549,B-05886
B,美术与设计类,5137,四川音乐学院,17,雕塑,3,549,B-05830
B,美术与设计类,5137,四川音乐学院,23,产品设计,3,549,B-05761
B,美术与设计类,5311,西南林业大学,15,视觉传达设计,3,549,B-05779
G,播音与主持类,2243,吉林艺术学院,12,播音与主持艺术,2,549,G-00426
G,播音与主持类,1304,燕京理工学院,6,播音与主持艺术,1,549,G-00425
B,美术与设计类,17,嘉兴大学,35,服装与服饰设计,56,548,B-05924
B,美术与设计类,19,浙大宁波理工学院,32,环境设计,60,548,B-05907
B,美术与设计类,21,湖州师范学院,40,服装与服饰设计,17,548,B-05946
B,美术与设计类,22,绍兴文理学院,45,服装与服饰设计,20,548,B-06021
B,美术与设计类,23,台州学院,3,产品设计,32,548,B-06054
B,美术与设计类,38,丽水学院,35,视觉传达设计,32,548,B-06068
B,美术与设计类,1208,天津城建大学,31,设计学类,12,548,B-06051
B,美术与设计类,1408,山西农业大学,18,视觉传达设计,2,548,B-06044
B,美术与设计类,3201,常熟理工学院,6,环境设计,3,548,B-06067
B,美术与设计类,3201,常熟理工学院,7,产品设计,4,548,B-05919
B,美术与设计类,3537,泉州师范学院,39,产品设计,2,548,B-06035
B,美术与设计类,3619,江西科技师范大学,4,服装与服饰设计,3,548,B-05989
B,美术与设计类,3640,井冈山大学,4,美术学(师范),4,548,B-06082
B,美术与设计类,3711,临沂大学,13,美术学(师范),10,548,B-06041
B,美术与设计类,3725,曲阜师范大学,2,视觉传达设计,10,548,B-06027
B,美术与设计类,4099,江汉大学,5,视觉传达设计(中外合作办学),6,548,B-05929
B,美术与设计类,4308,长沙学院,32,动画,3,548,B-06058
B,美术与设计类,4366,中南林业科技大学,2,环境设计,4,548,B-05964
B,美术与设计类,5313,云南财经大学,22,视觉传达设计,3,548,B-06039
Cd,音乐类音乐教育声乐主项,5137,四川音乐学院,5,音乐教育（声乐主项）,2,548,Cd00336
Ea,表(导)演类戏剧影视表演方向,1314,河北传媒学院,7,表演,18,548,Ea00428
G,播音与主持类,4112,武汉传媒学院,9,播音与主持艺术,4,548,G-00431
B,美术与设计类,125,嘉兴南湖学院,32,数字媒体艺术,30,547,B-06091
B,美术与设计类,1102,北京城市学院,13,文物保护与修复,1,547,B-06113
B,美术与设计类,1420,山西传媒学院,5,动画,3,547,B-06210
B,美术与设计类,2151,沈阳建筑大学,26,环境设计,3,547,B-06159
B,美术与设计类,2315,哈尔滨师范大学,2,绘画,5,547,B-06218
B,美术与设计类,3103,上海视觉艺术学院,3,产品设计,8,547,B-06174
B,美术与设计类,3103,上海视觉艺术学院,6,服装与服饰设计,5,547,B-06231
B,美术与设计类,3243,南京工业大学,26,环境设计,4,547,B-06236
B,美术与设计类,3446,合肥大学,32,环境设计,4,547,B-06221
B,美术与设计类,3640,井冈山大学,5,视觉传达设计,4,547,B-06176
B,美术与设计类,3711,临沂大学,14,视觉传达设计,10,547,B-06108
B,美术与设计类,3712,鲁东大学,2,视觉传达设计,5,547,B-06143
B,美术与设计类,3767,山东艺术学院,3,绘画,8,547,B-06117
B,美术与设计类,4070,武汉纺织大学,20,环境设计(中外合作办学),2,547,B-06239
B,美术与设计类,4308,长沙学院,31,影视摄影与制作,2,547,B-06269
B,美术与设计类,4333,湖南理工学院,19,环境设计,2,547,B-06202
B,美术与设计类,4518,广西艺术学院,11,工艺美术,2,547,B-06266
B,美术与设计类,4521,桂林电子科技大学,10,环境设计,3,547,B-06168
B,美术与设计类,4607,海南师范大学,8,绘画,2,547,B-06142
B,美术与设计类,5137,四川音乐学院,14,摄影,2,547,B-06160
B,美术与设计类,5333,云南艺术学院,29,产品设计,1,547,B-06122
B,美术与设计类,5333,云南艺术学院,30,服装与服饰设计,1,547,B-06097
B,美术与设计类,6135,西安石油大学,1,设计学类,10,547,B-06119
Ec,表(导)演类戏剧影视导演方向,2221,吉林动画学院,9,戏剧影视导演,3,547,Ec00544
Ec,表(导)演类戏剧影视导演方向,4468,华南农业大学珠江学院,9,戏剧影视导演,2,547,Ec00545
G,播音与主持类,4229,南阳师范学院,3,播音与主持艺术,2,547,G-00440
B,美术与设计类,29,衢州学院,28,视觉传达设计,35,546,B-06271
B,美术与设计类,38,丽水学院,36,环境设计,17,546,B-06316
B,美术与设计类,1164,中华女子学院,1,服装与服饰设计,3,546,B-06321
B,美术与设计类,1408,山西农业大学,19,环境设计,2,546,B-06350
B,美术与设计类,2243,吉林艺术学院,16,动画,2,546,B-06274
B,美术与设计类,3103,上海视觉艺术学院,10,文物保护与修复,5,546,B-06327
B,美术与设计类,3319,常州工学院,1,环境设计,5,546,B-06324
B,美术与设计类,3541,武夷学院,7,美术学,1,546,B-06378
B,美术与设计类,3544,厦门大学嘉庚学院,49,视觉传达设计,5,546,B-06328
B,美术与设计类,3641,景德镇学院,2,美术学(师范),4,546,B-06389
B,美术与设计类,3652,豫章师范学院,10,视觉传达设计,2,546,B-06405
B,美术与设计类,3654,上饶师范学院,1,美术学(师范),4,546,B-06368
B,美术与设计类,3657,宜春学院,19,美术学(师范),2,546,B-06384
B,美术与设计类,3767,山东艺术学院,11,环境设计,4,546,B-06447
B,美术与设计类,4308,长沙学院,34,环境设计,3,546,B-06397
B,美术与设计类,4310,衡阳师范学院,22,美术学(师范),3,546,B-06448
B,美术与设计类,4347,湖南文理学院,7,美术学(师范),3,546,B-06297
B,美术与设计类,4518,广西艺术学院,6,绘画,3,546,B-06319
B,美术与设计类,5017,重庆工商大学,11,服装与服饰设计(中外合作办学),3,546,B-06355
B,美术与设计类,5137,四川音乐学院,21,环境设计,3,546,B-06281
B,美术与设计类,5333,云南艺术学院,27,环境设计,2,546,B-06294
B,美术与设计类,6207,兰州理工大学,33,视觉传达设计,2,546,B-06388
B,美术与设计类,6207,兰州理工大学,34,产品设计,2,546,B-06308
Cd,音乐类音乐教育声乐主项,5314,云南大学,1,音乐学,1,546,Cd00344
B,美术与设计类,14,浙江万里学院,49,视觉传达设计,35,545,B-06475
B,美术与设计类,123,温州理工学院,24,产品设计,30,545,B-06589
B,美术与设计类,123,温州理工学院,25,视觉传达设计,90,545,B-06496
B,美术与设计类,1110,北京服装学院,7,环境设计,2,545,B-06541
B,美术与设计类,1315,河北大学,13,动画(中外合作办学),3,545,B-06603
B,美术与设计类,1315,河北大学,15,环境设计(中外合作办学),3,545,B-06597
B,美术与设计类,1317,河北工程大学,19,环境设计,4,545,B-06514
B,美术与设计类,2149,沈阳化工大学,30,设计学类,5,545,B-06538
B,美术与设计类,2227,吉林建筑大学,35,视觉传达设计,2,545,B-06562
B,美术与设计类,2243,吉林艺术学院,14,数字媒体艺术,8,545,B-06481
B,美术与设计类,3201,常熟理工学院,8,服装与服饰设计,4,545,B-06634
B,美术与设计类,3537,泉州师范学院,40,服装与服饰设计,2,545,B-06591
B,美术与设计类,3541,武夷学院,8,视觉传达设计,2,545,B-06548
B,美术与设计类,3541,武夷学院,11,数字媒体艺术,1,545,B-06536
B,美术与设计类,3725,曲阜师范大学,3,绘画,5,545,B-06494
B,美术与设计类,3735,山东工艺美术学院,7,艺术与科技,3,545,B-06547
B,美术与设计类,3735,山东工艺美术学院,11,影视摄影与制作,3,545,B-06598
B,美术与设计类,3735,山东工艺美术学院,12,中国画,2,545,B-06504
B,美术与设计类,4511,广西民族大学,21,视觉传达设计,4,545,B-06649
B,美术与设计类,4525,桂林理工大学,20,设计学类,5,545,B-06554
B,美术与设计类,5025,重庆三峡学院,27,视觉传达设计,2,545,B-06563
B,美术与设计类,5137,四川音乐学院,18,绘画,10,545,B-06473
B,美术与设计类,5313,云南财经大学,23,产品设计,2,545,B-06528
B,美术与设计类,5333,云南艺术学院,22,绘画,6,545,B-06499
B,美术与设计类,6107,陕西理工大学,4,视觉传达设计,5,545,B-06519
B,美术与设计类,6119,西安工程大学,3,服装与服饰设计(中外合作办学),3,545,B-06549
Ca,音乐类音乐表演器乐方向,3145,上海师范大学,4,音乐表演(中外合作办学),2,545,Ca00435
Ca,音乐类音乐表演器乐方向,4236,郑州大学,20,音乐表演（琵琶）,1,545,Ca00434
Ea,表(导)演类戏剧影视表演方向,5028,重庆对外经贸学院,27,表演,3,545,Ea00466
B,美术与设计类,38,丽水学院,37,陶瓷艺术设计,28,544,B-06656
B,美术与设计类,1315,河北大学,14,视觉传达设计(中外合作办学),3,544,B-06699
B,美术与设计类,1416,太原师范学院,4,美术学(师范),5,544,B-06712
B,美术与设计类,2314,哈尔滨商业大学,19,视觉传达设计,8,544,B-06803
B,美术与设计类,3314,南京传媒学院,3,影视摄影与制作,8,544,B-06708
B,美术与设计类,3544,厦门大学嘉庚学院,51,产品设计,4,544,B-06668
B,美术与设计类,3641,景德镇学院,1,工艺美术,3,544,B-06771
B,美术与设计类,3653,萍乡学院,1,美术学(师范),2,544,B-06721
B,美术与设计类,3767,山东艺术学院,12,工艺美术,2,544,B-06800
B,美术与设计类,4229,南阳师范学院,4,美术学(师范),2,544,B-06760
B,美术与设计类,4332,湖南科技学院,7,产品设计,3,544,B-06822
B,美术与设计类,4333,湖南理工学院,17,美术学,4,544,B-06742
B,美术与设计类,4513,广西师范大学,7,绘画,3,544,B-06691
B,美术与设计类,4518,广西艺术学院,15,雕塑,1,544,B-06735
B,美术与设计类,5025,重庆三峡学院,29,美术学,2,544,B-06827
B,美术与设计类,5025,重庆三峡学院,30,动画,2,544,B-06713
B,美术与设计类,5311,西南林业大学,16,环境设计,3,544,B-06783
B,美术与设计类,5333,云南艺术学院,20,影视摄影与制作,2,544,B-06731
B,美术与设计类,5333,云南艺术学院,24,摄影,2,544,B-06776
Cc,音乐类音乐教育器乐主项,4,浙江师范大学,26,音乐学(师范),45,544,Cc00391
Cc,音乐类音乐教育器乐主项,20,杭州师范大学,63,音乐学(师范),33,544,Cc00396
B,美术与设计类,14,浙江万里学院,46,产品设计,35,543,B-06868
B,美术与设计类,121,湖州学院,1,视觉传达设计,100,543,B-06832
B,美术与设计类,121,湖州学院,3,产品设计,35,543,B-06954
B,美术与设计类,123,温州理工学院,23,环境设计,60,543,B-06913
B,美术与设计类,168,温州肯恩大学,11,视觉传达设计(中外合作办学),30,543,B-06843
B,美术与设计类,2231,吉林农业大学,26,环境设计,4,543,B-06958
B,美术与设计类,2243,吉林艺术学院,5,视觉传达设计,2,543,B-06857
B,美术与设计类,2243,吉林艺术学院,8,产品设计,1,543,B-06981
B,美术与设计类,3244,南京工业大学浦江学院,21,视觉传达设计,5,543,B-06982
B,美术与设计类,3541,武夷学院,6,动画,2,543,B-06949
B,美术与设计类,3541,武夷学院,10,产品设计,2,543,B-06902
B,美术与设计类,3544,厦门大学嘉庚学院,48,动画,3,543,B-06834
B,美术与设计类,3641,景德镇学院,3,产品设计,4,543,B-06950
B,美术与设计类,3648,南昌工程学院,1,设计学类,6,543,B-06984
B,美术与设计类,3657,宜春学院,20,视觉传达设计,2,543,B-06895
B,美术与设计类,3735,山东工艺美术学院,2,环境设计,3,543,B-06846
B,美术与设计类,3767,山东艺术学院,17,影视摄影与制作,2,543,B-06829
B,美术与设计类,4079,武汉体育学院,9,视觉传达设计,2,543,B-07008
B,美术与设计类,4229,南阳师范学院,5,视觉传达设计,3,543,B-06920
B,美术与设计类,4310,衡阳师范学院,24,视觉传达设计,3,543,B-06931
B,美术与设计类,4332,湖南科技学院,6,环境设计,2,543,B-07007
B,美术与设计类,4360,邵阳学院,9,美术学(师范),3,543,B-06835
B,美术与设计类,4361,湘南学院,1,美术学(师范),4,543,B-06877
B,美术与设计类,4518,广西艺术学院,5,美术教育(师范),2,543,B-06900
B,美术与设计类,4518,广西艺术学院,19,影视摄影与制作,2,543,B-06889
B,美术与设计类,4612,琼台师范学院,3,美术学(师范),2,543,B-06839
B,美术与设计类,5025,重庆三峡学院,28,服装与服饰设计,2,543,B-07006
B,美术与设计类,6107,陕西理工大学,3,美术学(师范),10,543,B-06830
B,美术与设计类,6107,陕西理工大学,5,环境设计,5,543,B-06970
B,美术与设计类,6404,北方民族大学,8,视觉传达设计,2,543,B-06903
Ca,音乐类音乐表演器乐方向,198,浙江音乐学院,57,艺术与科技,12,543,Ca00456
Ca,音乐类音乐表演器乐方向,4402,北京师范大学-香港浸会大学联合国际学院,15,音乐表演(中外合作办学)（器乐）,2,543,Ca00458
Cc,音乐类音乐教育器乐主项,5137,四川音乐学院,4,音乐教育（钢琴主项）,2,543,Cc00406
Ea,表(导)演类戏剧影视表演方向,1230,天津商业大学宝德学院,15,表演,2,543,Ea00495
G,播音与主持类,3656,新余学院,1,播音与主持艺术,4,543,G-00481
M,书法类,1226,天津美术学院,3,书法学,4,543,M-00062
B,美术与设计类,14,浙江万里学院,47,动画,35,542,B-07149
B,美术与设计类,92,浙江工业大学之江学院,24,数字媒体艺术,37,542,B-07211
B,美术与设计类,121,湖州学院,2,环境设计,65,542,B-07186
B,美术与设计类,1102,北京城市学院,11,设计学类,1,542,B-07076
B,美术与设计类,1333,衡水学院,4,视觉传达设计,2,542,B-07210
B,美术与设计类,1509,内蒙古师范大学,1,视觉传达设计,4,542,B-07087
B,美术与设计类,1509,内蒙古师范大学,4,数字媒体艺术,6,542,B-07144
B,美术与设计类,2227,吉林建筑大学,34,环境设计,4,542,B-07058
B,美术与设计类,3652,豫章师范学院,9,绘画,2,542,B-07138
B,美术与设计类,3654,上饶师范学院,2,环境设计,4,542,B-07206
B,美术与设计类,4229,南阳师范学院,8,数字媒体艺术,3,542,B-07053
B,美术与设计类,4244,中原工学院,17,产品设计,6,542,B-07193
B,美术与设计类,4308,长沙学院,35,服装与服饰设计,2,542,B-07030
B,美术与设计类,4336,湖南女子学院,1,视觉传达设计,2,542,B-07113
B,美术与设计类,4355,怀化学院,5,数字媒体艺术,4,542,B-07121
B,美术与设计类,4613,海南热带海洋学院,29,视觉传达设计,2,542,B-07137
B,美术与设计类,5333,云南艺术学院,25,中国画,1,542,B-07075
B,美术与设计类,6404,北方民族大学,6,动画,2,542,B-07040
Ca,音乐类音乐表演器乐方向,5137,四川音乐学院,6,音乐表演（管乐与乐队训练）,1,542,Ca00477
Cb,音乐类音乐表演声乐方向,2124,东北大学,23,音乐表演（民声）,1,542,Cb00441
D,舞蹈类,3148,上海体育大学,7,舞蹈编导,4,542,D-00041
G,播音与主持类,4361,湘南学院,7,播音与主持艺术,3,542,G-00502
G,播音与主持类,5121,成都锦城学院,4,播音与主持艺术,2,542,G-00496
B,美术与设计类,1333,衡水学院,2,美术学(师范),2,541,B-07219
B,美术与设计类,1509,内蒙古师范大学,5,艺术与科技,2,541,B-07307
B,美术与设计类,2160,沈阳音乐学院,34,影视摄影与制作,1,541,B-07324
B,美术与设计类,2314,哈尔滨商业大学,20,产品设计,8,541,B-07318
B,美术与设计类,3103,上海视觉艺术学院,9,公共艺术,5,541,B-07350
B,美术与设计类,3103,上海视觉艺术学院,11,摄影,8,541,B-07339
B,美术与设计类,3143,上海杉达学院,38,视觉传达设计,4,541,B-07260
B,美术与设计类,3261,南京师范大学中北学院,5,美术学,2,541,B-07352
B,美术与设计类,3261,南京师范大学中北学院,6,环境设计,2,541,B-07384
B,美术与设计类,3307,扬州大学广陵学院,15,视觉传达设计,3,541,B-07235
B,美术与设计类,3526,集美大学诚毅学院,27,视觉传达设计,5,541,B-07315
B,美术与设计类,3541,武夷学院,9,环境设计,3,541,B-07401
B,美术与设计类,3602,赣东学院,2,数字媒体艺术,3,541,B-07366
B,美术与设计类,3644,九江学院,1,产品设计,4,541,B-07247
B,美术与设计类,3644,九江学院,2,绘画,4,541,B-07226
B,美术与设计类,3653,萍乡学院,2,视觉传达设计,3,541,B-07371
B,美术与设计类,3657,宜春学院,21,环境设计,2,541,B-07305
B,美术与设计类,4244,中原工学院,15,服装与服饰设计,3,541,B-07256
B,美术与设计类,4244,中原工学院,18,环境设计,3,541,B-07323
B,美术与设计类,4310,衡阳师范学院,25,环境设计,3,541,B-07225
B,美术与设计类,4360,邵阳学院,10,视觉传达设计,5,541,B-07331
B,美术与设计类,4450,韶关学院,11,美术学(师范),10,541,B-07330
B,美术与设计类,4457,广州软件学院,10,数字媒体艺术,1,541,B-07363
B,美术与设计类,4506,广西科技大学,4,环境设计,5,541,B-07269
B,美术与设计类,4513,广西师范大学,19,视觉传达设计(中外合作办学),5,541,B-07268
B,美术与设计类,4518,广西艺术学院,14,环境设计,4,541,B-07283
B,美术与设计类,5025,重庆三峡学院,26,环境设计,2,541,B-07257
B,美术与设计类,5137,四川音乐学院,20,公共艺术,2,541,B-07349
B,美术与设计类,5313,云南财经大学,21,环境设计,3,541,B-07388
B,美术与设计类,5333,云南艺术学院,23,雕塑,2,541,B-07218
B,美术与设计类,6404,北方民族大学,9,环境设计,2,541,B-07406
B,美术与设计类,6404,北方民族大学,10,绘画,2,541,B-07322
Ca,音乐类音乐表演器乐方向,3276,南通大学,22,音乐表演,2,541,Ca00483
Cd,音乐类音乐教育声乐主项,20,杭州师范大学,52,音乐学(师范),33,541,Cd00428
D,舞蹈类,4,浙江师范大学,28,舞蹈学(师范),7,541,D-00044
D,舞蹈类,2218,东北师范大学,1,舞蹈编导(师范),2,541,D-00043
Ea,表(导)演类戏剧影视表演方向,4069,武昌理工学院,12,表演,5,541,Ea00529
B,美术与设计类,14,浙江万里学院,4,视觉传达设计（中德2+2双学位班）,16,540,B-07417
B,美术与设计类,14,浙江万里学院,48,环境设计,57,540,B-07542
B,美术与设计类,38,丽水学院,34,摄影,24,540,B-07592
B,美术与设计类,1333,衡水学院,3,动画,2,540,B-07602
B,美术与设计类,1416,太原师范学院,5,动画,5,540,B-07478
B,美术与设计类,1509,内蒙古师范大学,2,环境设计,3,540,B-07600
B,美术与设计类,2243,吉林艺术学院,4,绘画,5,540,B-07423
B,美术与设计类,2243,吉林艺术学院,15,艺术与科技,2,540,B-07477
B,美术与设计类,3143,上海杉达学院,42,数字媒体艺术,2,540,B-07517
B,美术与设计类,3244,南京工业大学浦江学院,22,产品设计,5,540,B-07463
B,美术与设计类,3302,江苏师范大学科文学院,8,视觉传达设计,3,540,B-07560
B,美术与设计类,3439,巢湖学院,3,环境设计,5,540,B-07515
B,美术与设计类,3602,赣东学院,1,服装与服饰设计,3,540,B-07601
B,美术与设计类,3623,赣南科技学院,2,设计学类,10,540,B-07597
B,美术与设计类,3644,九江学院,3,视觉传达设计(中外合作办学),4,540,B-07576
B,美术与设计类,4015,湖北工业大学工程技术学院,19,视觉传达设计,2,540,B-07574
B,美术与设计类,4225,洛阳理工学院,23,数字媒体艺术,8,540,B-07605
B,美术与设计类,4318,湖南工程学院,12,视觉传达设计,4,540,B-07507
B,美术与设计类,4318,湖南工程学院,14,数字媒体艺术,2,540,B-07606
B,美术与设计类,4332,湖南科技学院,4,美术学,4,540,B-07448
B,美术与设计类,4347,湖南文理学院,8,环境设计,5,540,B-07444
B,美术与设计类,4355,怀化学院,1,美术学(师范),7,540,B-07614
B,美术与设计类,4355,怀化学院,2,视觉传达设计,4,540,B-07487
B,美术与设计类,4361,湘南学院,2,视觉传达设计,7,540,B-07455
B,美术与设计类,4511,广西民族大学,23,环境设计,4,540,B-07534
B,美术与设计类,4518,广西艺术学院,16,绘画（壁画）,1,540,B-07540
Cb,音乐类音乐表演声乐方向,3627,江西师范大学,1,音乐表演（声乐）,1,540,Cb00464
Cb,音乐类音乐表演声乐方向,3767,山东艺术学院,2,音乐表演（演唱方向）,1,540,Cb00463
Cc,音乐类音乐教育器乐主项,4236,郑州大学,21,作曲与作曲技术理论,1,540,Cc00436
Cd,音乐类音乐教育声乐主项,4,浙江师范大学,27,音乐学(师范),45,540,Cd00436
Ea,表(导)演类戏剧影视表演方向,3651,南昌理工学院,17,表演,3,540,Ea00556
B,美术与设计类,92,浙江工业大学之江学院,23,产品设计,38,539,B-07693
B,美术与设计类,94,宁波大学科学技术学院,33,视觉传达设计,60,539,B-07765
B,美术与设计类,1102,北京城市学院,10,动画（日语国际课程班）,1,539,B-07687
B,美术与设计类,2101,鞍山师范学院,8,环境设计,1,539,B-07708
B,美术与设计类,2243,吉林艺术学院,3,美术学,2,539,B-07780
B,美术与设计类,3130,上海建桥学院,46,数字媒体艺术,4,539,B-07732
B,美术与设计类,3244,南京工业大学浦江学院,23,艺术与科技,5,539,B-07674
B,美术与设计类,3247,南京航空航天大学金城学院,33,视觉传达设计,10,539,B-07767
B,美术与设计类,3247,南京航空航天大学金城学院,36,数字媒体艺术,10,539,B-07720
B,美术与设计类,3544,厦门大学嘉庚学院,50,环境设计,11,539,B-07670
B,美术与设计类,4225,洛阳理工学院,21,视觉传达设计,12,539,B-07770
B,美术与设计类,4229,南阳师范学院,6,环境设计,2,539,B-07678
B,美术与设计类,4229,南阳师范学院,7,工艺美术,2,539,B-07725
B,美术与设计类,4250,河南工程学院,14,数字媒体艺术,6,539,B-07637
B,美术与设计类,4310,衡阳师范学院,23,绘画,3,539,B-07641
B,美术与设计类,4332,湖南科技学院,5,摄影,3,539,B-07621
B,美术与设计类,4336,湖南女子学院,3,产品设计,2,539,B-07658
B,美术与设计类,4355,怀化学院,4,产品设计,3,539,B-07636
B,美术与设计类,4506,广西科技大学,5,服装与服饰设计,4,539,B-07717
B,美术与设计类,5019,重庆财经学院,19,数字媒体艺术,3,539,B-07772
B,美术与设计类,6215,西北师范大学,27,环境设计(中外合作办学),5,539,B-07781
B,美术与设计类,6404,北方民族大学,7,雕塑,2,539,B-07630
Ca,音乐类音乐表演器乐方向,3524,集美大学,14,音乐表演（器乐）,3,539,Ca00504
Cc,音乐类音乐教育器乐主项,5,宁波大学,60,音乐学(师范),21,539,Cc00451
Cc,音乐类音乐教育器乐主项,3276,南通大学,23,音乐学(师范),2,539,Cc00455
Ea,表(导)演类戏剧影视表演方向,1314,河北传媒学院,8,表演,12,539,Ea00568
B,美术与设计类,96,浙江工商大学杭州商学院,28,数字媒体艺术,30,538,B-07917
B,美术与设计类,1313,邯郸学院,3,数字媒体艺术,5,538,B-07832
B,美术与设计类,1321,河北建筑工程学院,5,环境设计,2,538,B-07928
B,美术与设计类,1420,山西传媒学院,6,漫画,2,538,B-07916
B,美术与设计类,2243,吉林艺术学院,10,摄影,1,538,B-07906
B,美术与设计类,3143,上海杉达学院,39,环境设计,2,538,B-07792
B,美术与设计类,3247,南京航空航天大学金城学院,34,产品设计,4,538,B-07887
B,美术与设计类,3314,南京传媒学院,2,摄影,7,538,B-07901
B,美术与设计类,3526,集美大学诚毅学院,28,环境设计,6,538,B-07959
B,美术与设计类,4112,武汉传媒学院,11,摄影,2,538,B-07926
B,美术与设计类,4225,洛阳理工学院,22,产品设计,10,538,B-07971
B,美术与设计类,4228,南阳理工学院,20,环境设计,5,538,B-07793
B,美术与设计类,4250,河南工程学院,12,产品设计,6,538,B-07790
B,美术与设计类,4360,邵阳学院,11,环境设计,6,538,B-07953
B,美术与设计类,4361,湘南学院,3,环境设计,5,538,B-07923
B,美术与设计类,4518,广西艺术学院,13,戏剧影视美术设计,1,538,B-07829
B,美术与设计类,5165,四川电影电视学院,8,影视摄影与制作,1,538,B-07970
B,美术与设计类,5312,玉溪师范学院,5,设计学类,2,538,B-07899
Cb,音乐类音乐表演声乐方向,27,浙江传媒学院,18,音乐表演（声乐）,4,538,Cb00512
Cd,音乐类音乐教育声乐主项,5,宁波大学,59,音乐学(师范),22,538,Cd00471
Cd,音乐类音乐教育声乐主项,3301,江苏师范大学,14,音乐学(师范),2,538,Cd00473
Ea,表(导)演类戏剧影视表演方向,6140,西安外事学院,1,表演,2,538,Ea00587
Eb,表(导)演类服装表演方向,8,浙江理工大学,37,表演（时装表演艺术）,23,538,Eb00040
